hostname	firstLabel	labelCount	suggestedExactHostRule	suggestedPslOverrideLabel	networkStatus
ccwu.cc	ccwu	2	ccwu.cc	ccwu	not-tested
cdn77-storage.com	cdn77-storage	2	cdn77-storage.com	cdn77-storage	not-tested
ce.gov.br	ce	3	ce.gov.br	ce	not-tested
ce.it	ce	2	ce.it	ce	not-tested
ce.leg.br	ce	3	ce.leg.br	ce	not-tested
cechire.com	cechire	2	cechire.com	cechire	not-tested
cf-ipfs.com	cf-ipfs	2	cf-ipfs.com	cf-ipfs	not-tested
cfolks.pl	cfolks	2	cfolks.pl	cfolks	not-tested
ch.it	ch	2	ch.it	ch	not-tested
chambagri.fr	chambagri	2	chambagri.fr	chambagri	not-tested
channelsdvr.net	channelsdvr	2	channelsdvr.net	channelsdvr	not-tested
chatgpt.site	chatgpt	2	chatgpt.site	chatgpt	not-tested
cheap.jp	cheap	2	cheap.jp	cheap	not-tested
chehalis.wa.us	chehalis	3	chehalis.wa.us	chehalis	not-tested
cherkassy.ua	cherkassy	2	cherkassy.ua	cherkassy	not-tested
cherkasy.ua	cherkasy	2	cherkasy.ua	cherkasy	not-tested
chernigov.ua	chernigov	2	chernigov.ua	chernigov	not-tested
chernivtsi.ua	chernivtsi	2	chernivtsi.ua	chernivtsi	not-tested
chernovtsy.ua	chernovtsy	2	chernovtsy.ua	chernovtsy	not-tested
chiba.jp	chiba	2	chiba.jp	chiba	not-tested
chicappa.jp	chicappa	2	chicappa.jp	chicappa	not-tested
chieti.it	chieti	2	chieti.it	chieti	not-tested
chillout.jp	chillout	2	chillout.jp	chillout	not-tested
chimkent.su	chimkent	2	chimkent.su	chimkent	not-tested
chips.jp	chips	2	chips.jp	chips	not-tested
chirurgiens-dentistes-en-france.fr	chirurgiens-dentistes-en-france	2	chirurgiens-dentistes-en-france.fr	chirurgiens-dentistes-en-france	not-tested
chirurgiens-dentistes.fr	chirurgiens-dentistes	2	chirurgiens-dentistes.fr	chirurgiens-dentistes	not-tested
chowder.jp	chowder	2	chowder.jp	chowder	not-tested
chu.jp	chu	2	chu.jp	chu	not-tested
ciao.jp	ciao	2	ciao.jp	ciao	not-tested
cieszyn.pl	cieszyn	2	cieszyn.pl	cieszyn	not-tested
cim.br	cim	2	cim.br	cim	not-tested
ciscofreak.com	ciscofreak	2	ciscofreak.com	ciscofreak	not-tested
cistron.nl	cistron	2	cistron.nl	cistron	not-tested
ck.ua	ck	2	ck.ua	ck	not-tested
cl.it	cl	2	cl.it	cl	not-tested
clan.rip	clan	2	clan.rip	clan	not-tested
clerk.app	clerk	2	clerk.app	clerk	not-tested
cleverapps.io	cleverapps	2	cleverapps.io	cleverapps	not-tested
cloud-ip.cc	cloud-ip	2	cloud-ip.cc	cloud-ip	not-tested
cloud.fedoraproject.org	cloud	3	cloud.fedoraproject.org	cloud	not-tested
cloud.goog	cloud	2	cloud.goog	cloud	not-tested
cloudaccess.host	cloudaccess	2	cloudaccess.host	cloudaccess	not-tested
cloudaccess.net	cloudaccess	2	cloudaccess.net	cloudaccess	not-tested
cloudapp.net	cloudapp	2	cloudapp.net	cloudapp	not-tested
cloudflare-ipfs.com	cloudflare-ipfs	2	cloudflare-ipfs.com	cloudflare-ipfs	not-tested
cloudflare.net	cloudflare	2	cloudflare.net	cloudflare	not-tested
cloudfront.net	cloudfront	2	cloudfront.net	cloudfront	not-tested
cloudfunctions.net	cloudfunctions	2	cloudfunctions.net	cloudfunctions	not-tested
cloudjiffy.net	cloudjiffy	2	cloudjiffy.net	cloudjiffy	not-tested
cloudns.asia	cloudns	2	cloudns.asia	cloudns	not-tested
cloudns.be	cloudns	2	cloudns.be	cloudns	not-tested
cloudns.biz	cloudns	2	cloudns.biz	cloudns	not-tested
